월,기간,총유입수,네이버지도%,네이버검색%,네이버블로그%,네이버톡톡%,웹사이트%,1위키워드,1위%,2위키워드,2위%,3위키워드,3위%,4위키워드,4위%,5위키워드,5위%
2025-04,25.4.2~4.30,453,50.11,47.68,0.66,0.66,0.88,사라요가,55.97,요가,15.67,대전사라요가,14.93,대전오류동요가,6.72,대전문화동요가,6.72
2025-05,25.5.1~5.31,405,49.38,48.64,1.73,0.00,0.25,사라요가,45.53,대전중구요가,26.02,요가,14.63,대전오류동요가,7.32,대전태평동요가,6.50
2025-06,25.6.1~6.30,425,49.18,48.71,0.00,1.65,0.47,사라요가,46.72,요가,24.59,대전사라요가,11.48,대전중구요가,9.02,플라잉요가,8.20
2025-07,25.7.1~7.31,509,50.88,45.38,1.18,2.16,0.39,사라요가,66.42,오류동요가,11.19,대전중구요가,10.45,요가학원,5.97,요가,5.97
2025-08,25.8.1~8.31,540,52.22,46.85,0.56,0.19,0.19,사라요가,47.65,요가,24.16,대전오류동요가,10.07,대전사라요가,10.07,플라잉요가,8.05
2025-09,25.9.1~9.30,551,49.00,49.00,1.09,0.73,0.00,사라요가,52.94,대전중구요가,16.99,요가,10.46,대전사라요가,9.80,플라잉요가,9.80
2025-10,25.10.1~10.31,483,50.10,46.17,0.41,2.90,0.00,사라요가,40.40,대전플라잉요가,20.53,대전중구요가,14.57,요가,12.58,플라잉요가,11.92
2025-11,25.11.1~11.30,604,49.50,49.83,0.17,0.50,0.00,사라요가,42.33,대전플라잉요가,20.25,대전사라요가,15.34,대전중구요가,12.27,요가,9.82
2025-12,25.12.1~12.31,571,48.86,49.21,1.58,0.35,0.00,사라요가,46.71,요가,16.45,대전플라잉요가,14.47,플라잉요가,11.84,대전중구요가,10.53
2026-01,26.1.1~1.31,759,47.69,51.12,0.40,0.53,0.26,대전중구요가,28.27,사라요가,26.18,요가,18.85,대전플라잉요가,17.28,오류동요가,9.42
2026-02,26.2.1~2.28,530,53.96,44.34,0.38,0.19,1.13,사라요가,36.57,대전플라잉요가,17.16,요가,16.42,대전사라요가,16.42,대전중구요가,13.43
2026-03,26.3.1~3.31,659,58.12,40.82,0.30,0.46,0.30,사라요가,43.67,대전플라잉요가,20.89,대전중구요가,18.99,플라잉요가,8.23,대전중구요가원,8.23
